Rating,Title,Comment,Length,Scores,Compound,Sentiment_Score,Rating_to_Sentiment
1,go sihanoukville singapore,biggest complaint company lack integrity tried change flight date something say long within day departure reasonable term day flight attempted change date departure vacation gone wrong unable find way making contact phone used online assistant ava response allowed change destination wanted change date even entered confirmation code obviously glitch program attempt time running short elected go airport sort thing customer service person airport nice person way assured u could change flight wait three day next available flight pay additional usd flight paid usd make long complaint short took hr taxi ride next airport caught air asia flight kuala lumpur connection flight singapore depart possible credit flight nothing would refund airport tax buy new ticket best option could provide suggestion fly another airline unless sure plan going change p first airline ever flown even provide drink water could pre order food drink,790,"{'neg': 0.072, 'neu': 0.819, 'pos': 0.109, 'compound': 0.7783}",0.7783,positive,negative
1,ripped,ripped wose ever life paid baggage online said didnt pay x price airport ended charging usd average sized bag hour flight double paid flight custmer service help extorted going way tell everyone bad,166,"{'neg': 0.096, 'neu': 0.795, 'pos': 0.109, 'compound': -0.129}",-0.129,neutral,negative
1,would rather give zero,would rather give zero company respect customer changed flight schedule agreeable according contract refunded month since cash rich company since give proper refund aware airasia never use,162,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.8591}",0.8591,positive,negative
1,husband got boarding,husband got boarding pas pen flight kul per flight ak october perth one kg check luggage way perth boarding pa show gate waited close departure gate boarding time waited approximately hour realised flight already due boarding quickly approached one ground staff told gate moved gate rushed gate told aircraft door closed cannot open door make necessary announcement missed flight check luggage offloaded asked notification send representative original gate notify u said announcement made since noisy announcement muffled hear helpful care anything u left find new flight back perth believe airasia responsible negligence inform u change hope happen fellow passenger booking airasia,582,"{'neg': 0.036, 'neu': 0.839, 'pos': 0.125, 'compound': 0.8625}",0.8625,positive,negative
1,worst airline ever,airline change destination kertajati purchased ticket pay idr extra bus ticket travel another hour way compansation offer refund show card month avoid nightmare airline,145,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3818}",-0.3818,negative,negative
1,cheat,absolutely terrible customer service booked expedia told last minute outward flight booked return necessitated call airasia get number expedia told expedia airasia many different number work waited hold thirty minute nothing tried several day calling expedia able sort problem cancel flight personal reason could never reach contact airasia expedia advised leave company sham avoid airasia cost,339,"{'neg': 0.199, 'neu': 0.76, 'pos': 0.041, 'compound': -0.8388}",-0.8388,negative,negative
1,worst cabin crew ever met,hello travel week job many flight year time took wife plane holiday mean cool stress le one thing company worst cabin crew ever met travel lot ryanair wake nothing check boarding pa middle flight speak kindly badly etc choose malindo airline next time never,214,"{'neg': 0.178, 'neu': 0.676, 'pos': 0.146, 'compound': -0.4215}",-0.4215,negative,negative
1,worst airline sure,worst airline sure lowest costumer service rudest stuff strongly recommend ignore airline,78,"{'neg': 0.516, 'neu': 0.203, 'pos': 0.28, 'compound': -0.7783}",-0.7783,negative,negative
1,height delaying,hi karishma patel ama fashion designer first time travelling airasia flight kept delaying since morning also technical issue flight serve anything drink eat making traveler freak also asking many time people kept saying know howong going take provide beverage people also expect know stuff task provide someone food emergency kept u waiting hour personally would never advice body book company client treated professionally unrespectful please never think booking airasia also want money refunded,424,"{'neg': 0.071, 'neu': 0.882, 'pos': 0.047, 'compound': -0.4404}",-0.4404,negative,negative
3,like flying price,like flying price great website mobile app totally bugged going year sad see improvement time exchange cto product manager get proper development team guy,131,"{'neg': 0.095, 'neu': 0.612, 'pos': 0.294, 'compound': 0.7579}",0.7579,positive,neutral
1,airasia lie,airasia lie advertise trip lombok example aud yet book aud go europe plus airasia took route australia lombok amount subsidy lombok government bring tourist local business resident struggling airasia nothing try compare self jetstar jetstar perth lombok route great local business resident traveler top try call customer service one pick phone looking going lombok advertise book one way lie lie,336,"{'neg': 0.043, 'neu': 0.868, 'pos': 0.09, 'compound': 0.4767}",0.4767,positive,negative
1,extremely worst flight ever,extremely worst flight ever booked ticket airline,43,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.659}",-0.659,negative,negative
1,cheap patient,horrible still waiting refund ava poor feature website payment system work properly,72,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.765}",-0.765,negative,negative
1,absolutely untrustworthy,absolutely untrustworthy company avoided since july waiting refund number wqed gpt assume positive reference bought pr department shame ceo headquarters malaysia shame malaysia host pirate gang,168,"{'neg': 0.255, 'neu': 0.604, 'pos': 0.141, 'compound': -0.6077}",-0.6077,negative,negative
1,customer service staff manila make,customer service staff manila make rule surprisingly customer service lied rule hand luggage blamed manila airport rule ask security told airline make charge customer extra cheap sure ground staff show cheap untrained staff cash customer shame air asia philippine disgusted customer service,249,"{'neg': 0.217, 'neu': 0.604, 'pos': 0.179, 'compound': -0.4767}",-0.4767,negative,negative
2,passenger unfriendly airline,flight punctual aircraft clean fare often bit lower airline however still unhappy traveller airasia unfriendly policy towards seat assignment counter accommodate preference even seat available unless pay also harass passenger baggage weight thorough check checkin ask passenger weigh luggage near gate looking every opportunity squeeze money passenger awful attitude,318,"{'neg': 0.245, 'neu': 0.666, 'pos': 0.089, 'compound': -0.8225}",-0.8225,negative,negative
1,consistently awful every single time,simply worst airline world many year running unfortunate enough rely sorry excuse airline year ever good experience single flight went smoothly delay nonsense awful service always late anything take money always unpleasant thing charged u yet oxygen board point probably charged also cent per breath option certain destination today misfortune retiming flight day come airport go gate indicated find e gate would another delay top change gate still waiting board holiday ruined avoid airline pay get better service somewhere else,450,"{'neg': 0.306, 'neu': 0.563, 'pos': 0.131, 'compound': -0.9468}",-0.9468,negative,negative
5,flown load,flown load great airline always time happy,36,"{'neg': 0.0, 'neu': 0.391, 'pos': 0.609, 'compound': 0.8316}",0.8316,positive,positive
2,,flight delayed pilot attendant wont even announce reason waited almost hour took,69,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.2263}",-0.2263,negative,negative
1,worst airline ever,worst airline ever used im supposed leave iloilo manila connecting flight going europe waited hour dont think make connecting flight manila expected delay philippine people apparently know time never experienced kind service european airline,208,"{'neg': 0.257, 'neu': 0.743, 'pos': 0.0, 'compound': -0.8547}",-0.8547,negative,negative
1,kg carry quot speed boarding quot total b opposite happens,firstly kg carry limit make sense absolutely understand need smaller bag board happy however kg limit terrible camera commuter stuff already nearly kg make sense take flown around world first time seeing terrible system worse company make airport personnel charge people absolutely ridiculous fee check bag total kg two small bag staff made check bag charged nearly usd kg weight understand thing happen even kg terrible policy making customer pay exuberant fee thing like terrible experience top staff lost bag special cover transit took responsibility said yea covered u fly airasia reason happy tell friend fan boycott company business simply run like,553,"{'neg': 0.194, 'neu': 0.611, 'pos': 0.195, 'compound': 0.2748}",0.2748,positive,negative
1,overcharged tried,overcharged tried raise complaint thru website avail customer service bad unbelievable totally unhelpful keep closing case resolved open separate case still address issue send unhelpful generic email close case even try help anybody know elevate complaint know way making complaint thru website website complaint section complete waste time,293,"{'neg': 0.25, 'neu': 0.647, 'pos': 0.103, 'compound': -0.836}",-0.836,negative,negative
1,request refund due flight,request refund due flight reschedule air asia processed month told u case submitted bank call bank bank said receive money meanwhile case status airasia said closed,139,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral,negative
1,short version,short version airasia rebooked flight giving u minute make international connection kuala lumpur tried several time change mind bogglingly told minute enough time make international connection told option rebook expense approximately u per person move short domestic flight hour since move u bought standalone ticket kuala lumpur fraction price told use otherwise would cancel connecting international flight even though bought new ticket seat saved earlier flight apparently still anything top would refund airport tax fee ticket surprisingly minute enough time reasonably make international connection would guessed wife arthritis knee ended running entire way km made flight one minute still trouble knee week later airasia absolutely awful would strongly discourage anyone flying airasia flight rebooking policy absolute travesty borderline dangerous initially booked international flight hour minute layover connection kuala lumpur airasia changed flight minute make international connection obviously enough time first tried change flight person customer service rep said would would get confirmation via email day two instead got confirmation flight explanation contacted airasia via online chat horrible told policy change flight change flight time le minute conveniently moved flight minute shy rebooking mark rebook u also told u worry minute plenty time make international connection told wanted change short domestic flight go booking change process pay normal fee ended u per person change hr domestic flight one hour earlier next flight missed connection hour later meaning miss day australia lose hotel booking probably go without bag quite possibly miss next connecting international flight well rather risk airasia seemed think acceptable long move flight hour decided book earlier standalone domestic ticket kuala lumpur instead lo behold get airport check told use new ticket kuala lumpur otherwise cancel entire international trip show counter staff agreed minute enough time apparently forbidden changing flight well despite u already space earlier flight due new ticket bought add insult injury refund u new ticket except airport tax portion top sitting around airport many hour waiting flight check person chastises u booking flight tight connection absolutely unbelievable ended sticking original ticket rather airasia cancel entire flight luckily domestic flight time ended running entire km terminal hear last call flight still several gate away ended making international flight minute wife arthritis knee week later still constant problem due running top speed airport luggage depending doctor say wife knee may back touch regarding legal liability anything whatsoever would gone wrong security immigration disembarking anything else would missed flight risking ton issue missed international flight entirely sure rationale really actual people actually anything basically impossible get ahold well airasia absolutely awful strongly discouraging anyone flying thanks much airasia,2580,"{'neg': 0.151, 'neu': 0.756, 'pos': 0.093, 'compound': -0.9811}",-0.9811,negative,negative
1,worse experienced air asia shore staff,flight delayed approached service counter macau issue meal coupon declined requested go back home wait return pm boarding gate lady informing connecting flight kl pen without informing need issue ticket boarding old ticket usual arrive transit immigration scan hand carry reach j gate malay gentleman ask go service counter next actually sure walk till shop victoria secret met tall skinny ak staff malay guy explained matter ask go international exit go floor service counter next told cannot flight connecting baggage direct penang still insist arrived service counter next malay guy ask go back pick luggage otherwise issue new ticket go back meet police woman haxxxx another chinese ak staff glass allow go pick luggage said mine connecting flight insisted check international flight immigration outside domestic hall really confused told luggage sure cause flight connecting flight ask back service counter next go service counter next imagine flight day morning reached airport arrived kl next day morning thought finally catch flight stuck gentleman j gate direct service counter next get know chinese ak staff issue transfer counter passenger bad experienced flight delayed never ask compensation leading turning side ak staff buying hot seat issue normal seat disaster experience ever air asia really bad,1113,"{'neg': 0.09, 'neu': 0.849, 'pos': 0.061, 'compound': -0.8479}",-0.8479,negative,negative
5,worst experience withairasia,worst experience airasia arrived boarding gate min late denied boarding carrying kid well boarding gate far away well front gate spent whole time arguing u rude plane still boarding luggage stood arguing flight make call assist passenger child flight also waiting passenger late stood arguing min staff rude co operate,269,"{'neg': 0.332, 'neu': 0.604, 'pos': 0.063, 'compound': -0.9571}",-0.9571,negative,positive
1,cancelled short notice flight,cancelled short notice flight employing robot customer service without sense customer focused problem solving,96,"{'neg': 0.357, 'neu': 0.519, 'pos': 0.124, 'compound': -0.5399}",-0.5399,negative,negative
1,terrible check staff,flight airline fine baggage drop check nightmare young girl desk argued minute needed visa go vietnam visa arrival told late still insisted delaying almost missed flight isolated incident return flight ho chi min another young girl refused give boarding pa meet visa requirement go bangkok thailand held boarding pa desk told come back half hour eventually handed produced forward flight experienced traveler certainly worst experience airline recent year check girl boy encouraged donkey work immigration unsuited task often unsure generally poor air asia avoid flying note actually immigration staff problem minute later flew lufthansa egypt air great friendly staff highly recommended air asia,594,"{'neg': 0.194, 'neu': 0.68, 'pos': 0.126, 'compound': -0.775}",-0.775,negative,negative
1,would give star could,would give star could booked minute flight catch two connecting flight ilo ilo manila london minute flight delayed hr problem thought still two hour catch first correcting flight hour turned hour thus missed connecting flight best could offer refund delayed flight meaning book two flight scratch costing plus hotel food night taxi airport never use air asia unhelpful willing compensate wonder finish bad review never use,357,"{'neg': 0.16, 'neu': 0.785, 'pos': 0.055, 'compound': -0.7184}",-0.7184,negative,negative
3,asia biggest budget airline website continously updated new trap make pay thing never wanted,asia biggest budget airline affiliate several country either love hate come low expectation work fine route low frequency prone cancellation sometimes cancellation subsequent refund make blood boil flown around flight say work good ad hypnosis believing always cheapest website continuously updated trap make pay add never wanted first place need increasingly alert catch check final price paying yes including processing fee still worth,375,"{'neg': 0.146, 'neu': 0.656, 'pos': 0.198, 'compound': 0.6249}",0.6249,positive,neutral
1,worst staff,worst unsupportive airline charged baht kg one bag husband allowed kg,59,"{'neg': 0.396, 'neu': 0.604, 'pos': 0.0, 'compound': -0.7096}",-0.7096,negative,negative
1,dishonest bad budget airline world,qz june flight jakarta delayed time airasia sent email saying option get refund follow step stated email request refund website refund option see u send email telling customer refund option make sure willing refund customer without letting wait soooooo long country number call none country singapore email address livebot useless standard answer wrote complain say send relevant department handle even people working back end first place never take airasia ever making look like low budget cheat money airline hope airline wont last long,456,"{'neg': 0.13, 'neu': 0.774, 'pos': 0.095, 'compound': -0.5106}",-0.5106,negative,negative
1,worst airline ever,worst airline ever flight osaka disaster first bought seat randomly assign checked party scattered different place use value pack bought seat still randomly assign paid value pack meal return bought seat also randomly assign checked secondly party kid luggage checked adult checked first luggage taken boarding pa kid last check course still within hour departure time got luggage label boarding party realised given luggage label sticker asked staff boarding gate staff checked pc status luggage total combine label said kl ask transit counter staff checked luggage staff kl said yes total luggage assume safe arrive osaka late night arrive min earlier useless due long drive terminal made original eta schedule everybody taken luggage mine missing one airport staff gone panic try find got luggage day later thanks air asia cloth day need call yamato delivery delivery due uncertain delivery time cost roaming charge usually buy travel insurance luckily bought time claim inconvenience harder winning lottery even bother apologize thanks osaka airport staff always helpful attentive,920,"{'neg': 0.116, 'neu': 0.701, 'pos': 0.184, 'compound': 0.8979}",0.8979,positive,negative
1,checked baggage damaged,checked baggage damaged whilst hold coloured oil got suitcase zip whilst checked plane damaged clothes suitcase go bin concerned oil come air asia seem worry expressing disregard passenger belonging care put request air asia every single one closed whilst asking told told air asia collected suitacse baggage reclaim belt damage internal struggling see would known look would understand case dented scratched missing wheel entirely different extremely disappointed fly another airline,415,"{'neg': 0.261, 'neu': 0.702, 'pos': 0.037, 'compound': -0.9549}",-0.9549,negative,negative
1,worst airline experience ever,worst airline experience ever staff rude understanding tall people wanted sit red seat space leg staff became rude told rudly cannot sit need move right away read seat empty btw flight staff went seat hahahaha let go back beggining booked trip went official site book ticket cambodia nowhere booking mentioned need prebook baggage meal thought everything included like every normal airline went airport got pleasent suprise need pay dollar per bag mentioned booking ofc didnt choise board one pleasent suprise pay meal also expencive nice feeling way back terrible service time managed break bag purpose lock bag fine gentleman break lock open bag worst experience ever stay away air asia better pay airline experience thank hope lot people read one thing hope airline stop exist,655,"{'neg': 0.167, 'neu': 0.703, 'pos': 0.13, 'compound': -0.6908}",-0.6908,negative,negative
1,bad customer service,bad customer service assistance avoid scammer company take price extra cheap disappointing disgusting management,99,"{'neg': 0.552, 'neu': 0.448, 'pos': 0.0, 'compound': -0.9062}",-0.9062,negative,negative
5,brilliant low cost airline,little light seems sea negativity lived asia past year literally flown airasia time quick estimate fly domestic bangkok cambodia singapore japan hong kong vietnam go home australia couple time year trip never flight cancelled perhaps delayed flight nothing excruciating two flight schedule change appreciate tool available flight tracking time email notification domestic flight asia seating bit tight ft tall really hour flight complain international long flight book exit row sleep night price brilliant time good time flight crew really fantastic hard working people else fly airbus suit fine problem food better low cost airline flown goodness book pay online cheaper tastier airport fast food option always lookout promotional fare airline never hesitate continue choose fly airasia low cost airline wish choose full service great enjoy flying bangkok ho chi minh city next week little baht around folk brilliant low cost airline,794,"{'neg': 0.111, 'neu': 0.656, 'pos': 0.232, 'compound': 0.9743}",0.9743,positive,positive
1,would rather canoe indian ocean,tell someone get refund mean money back credit never disappointed company sister medical problem way treated horrible still wanted fly company making impossible booked ticket partner hospital partner unable go trip leave used whilst hospital asked go guy would name change fine refund ticket rebook name team said yes save money booked one day earlier cheaper next day ask refund original ticket told actually credit google definition refund two flight term lie contacting accc telling everyone terrible service poor sister treated,451,"{'neg': 0.136, 'neu': 0.688, 'pos': 0.177, 'compound': 0.486}",0.486,positive,negative
1,worst,worst booked flight thru app didnt accepted card chose dragonpay funded dragonpay say amount big unverified tried mode payment last step slide something error tried multiple time airfare price continually increased booked fare yet wasted time,207,"{'neg': 0.263, 'neu': 0.69, 'pos': 0.047, 'compound': -0.8662}",-0.8662,negative,negative
1,worst air service ever,worst air service ever experience till air asia female helper much ego hired u way deal lagguage quite disguise u service would recommend spice jet far better air asia even offer water flight even dying ask implies sense duty preferred somebody going hell disgusting service,230,"{'neg': 0.247, 'neu': 0.619, 'pos': 0.134, 'compound': -0.8221}",-0.8221,negative,negative
1,booked flight wife last,booked flight wife last night leaving today ticket cheapest charged expensive ticket sent flight detail pm arriving midnight called soon cell service thailand pretty much said pay entire ticket manager help department look website day bad lot flight take fly air asia well people follow blog know type customer service offer,274,"{'neg': 0.112, 'neu': 0.754, 'pos': 0.134, 'compound': 0.3182}",0.3182,positive,negative
1,nothing good say company,nothing good say company,21,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}",-0.3412,negative,negative
1,terrible customer service dishonest website,option contact customer service outside asia rubbish either social medium hardly get useful reply online chat never connects main problem booking online preselects various option careful end getting tricked paying extra service need case double amount extra luggage asked could take lot extra luggage duped taking using return flight plain useless customer service hard go onto computer cancel kid extra luggage transfer wife return flight feel like basically stealing unprofessional terrible customer service website dishonest never give business,470,"{'neg': 0.248, 'neu': 0.661, 'pos': 0.091, 'compound': -0.9373}",-0.9373,negative,negative
2,long gone day used like,long gone day used like airasia flying early day rating low booking process poor unclear ava please take useless thing hidden charge booking abound seen charge added without selecting e seat choice seat getting narrower narrower airport often many atm rarely working leading time loss unless sorted think airasia continue bleeding customer,288,"{'neg': 0.201, 'neu': 0.72, 'pos': 0.079, 'compound': -0.7579}",-0.7579,negative,negative
1,watch term condition,watch term condition get credit impossible arrange new flight,53,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,positive,negative
5,star price,star price everything else suck,27,"{'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative,positive
1,budget airline,budget airline booked premium flatbed dedicated check priority boarding promised paying extra also air asia big loyalty point except malaysian port told customer service credited wait week occur occur told issue backlog wait another week still point told definitely fix problem wait another week still correction told month since flight longer corrected one take responsibility customer service give run around till quote loophole policy also cannot directly speak anyone except social medium ignored service flight also minimal even premium flatbed flight delayed bed lie flat comfortable economy sure worth bad service,530,"{'neg': 0.094, 'neu': 0.711, 'pos': 0.195, 'compound': 0.8834}",0.8834,positive,negative
4,thanksto ground stuff air asia makassar,would like offer sincere thanks airasia ground staff working makassar airport especially station manager mr jumadil week ago issue baggage company bought flight ticket online kiwi purchase airasia latest request pay luggage problem cause credit card working enough money bit jumble crazy seems two company mean communicate even though million people must use service fly around asia anyway ground staff airasia mr jumadil especially helped offering internet connexion food water comfort untill issue got solved really appreciated help humanity become rare lately thank bottom heart,497,"{'neg': 0.063, 'neu': 0.703, 'pos': 0.235, 'compound': 0.9507}",0.9507,positive,positive
1,bad experience airasia,bad experience airasia crew service really good although budget airline mean treated unfriendly service either see something today instagram airasia pilot taking medical certificate mc leave celebrate birthday friend pilot paid high salary knowledge flying skill also responsibility could pilot apply mc birthday celebration next day went bicycle shop test new bicycle print screen photo proof airasia team info discipline action airasia team wish look get improved pilot apply annual leave personal matter instead medical leave attitude personality problem although airasia budget airline want take risk life either,529,"{'neg': 0.135, 'neu': 0.694, 'pos': 0.171, 'compound': 0.7089}",0.7089,positive,negative
1,hand worst airline ever,hand worst airline ever charge time price everything food aweful super expensive flight anything ticket chargeable fraud first order switch ac takeoff landing like little taxi traffic unfriendly totally useless ground staff,192,"{'neg': 0.277, 'neu': 0.523, 'pos': 0.201, 'compound': -0.5617}",-0.5617,negative,negative
1,terrible,terrible flight delayed hour last minute warning compensation refreshment nothing left hang around airport hour told reason flight arrived late,124,"{'neg': 0.303, 'neu': 0.697, 'pos': 0.0, 'compound': -0.7506}",-0.7506,negative,negative
1,special assistance foot literally,damaged ankle walk step time crutch booked kuala lumpur delhi flight special assistance service mar pm klia called air asia call center told following wheelchair available check counter flight walk come someone someone carry physically inside absurd klia taxi drop point departure terminal food shopping area maybe meter longest meter life took minute get across meter reach departure hall get counter flight told get counter v wheelchair assistance get wheelchair counter naturally filled complaint form catching breath website even say airline name anymore without getting upset got scripted robotic response followed closure complaint ticket think last time went physically mentally exhaustive ordeal self inflicted one decided go mountain trek km upper reach himalyas pure torture hobbling two crutch across total distance meter severely compounded robotic response rude behavior staff,761,"{'neg': 0.145, 'neu': 0.806, 'pos': 0.049, 'compound': -0.9289}",-0.9289,negative,negative
2,airasia change slogan,airasia change slogan everyone fly everyone fly terrible airline,56,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative,negative
1,rude unfriendly staff,rude unfriendly staff courtesy bad experience bengaluru airport travelling friend two kid late gate washroom missed flight allowed board pain pain attitude mismanagement manager athira kishore colleague inconvenience caused u rude unfriendly guide u rather walked u two kid cluelessly standing trying get pa security get side book ticket abandoned u airport rather guiding u running around airport trying find kid hanging around neck security guy told u one staff guide u pathetic behavior slave beggar go around looking job guide u took boarding pa well give back boarding pa required security check staff signature get complained feedback form lied saying offered u next flight charge horrible horrible experience never taking airline friend special child even sit properly carry around running around airport lady unethical behavior part airasia disappointed world moving forward woman safety airasia going step backwards people left two woman kid airport,815,"{'neg': 0.278, 'neu': 0.593, 'pos': 0.129, 'compound': -0.9808}",-0.9808,negative,negative
2,even glass water,able check online although invited send check everyone regardless know full flight queue longest ever experienced one hour basically bag drop never saw safety briefing announcement landing card given even drink water offered bad time lose case,207,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.8635}",-0.8635,negative,negative
1,never ever fly airasia,never ever fly airasia real con fat tony unwarranted delay dng kul route causing miss connecting flight forced purchase new ticket kul kch route airasia staff dng airport assured would compensated refunded purchasing new ticket advised airasia staff dng airport refund would take month made month refund made checked airasia online engaged mumeenah via livechat mumeenah provided full explanation asking email airasia etc could forward email instead screen shot delay approach intentionally loose information within stipulated timeframe livechat disconnected mumeenah sometime connected back cant upload screenshot onto livechat technical problem mumeenah n okay let send request file agent cancelled file transfer request time sending screenshot claimed received nothing realized airasia full never airasia determined make effort spread word unscrupulous airline ripping client hope meet fat tony one day,778,"{'neg': 0.127, 'neu': 0.803, 'pos': 0.07, 'compound': -0.738}",-0.738,negative,negative
1,favour engage airline,experienced failing system unempthatic customer service lack desire regain customer trust booked flight narita air asia x jakarta five month prior flight booking cancelled planned full refund cancellation flight advance notice acceptable due flight reshuffling etc follows made lost trust airline shalladvocate passenger fly budget airline opted full refund bank account acknowledged contact customer service officer two time hr wait give confirmation decision waiting refund went month actively ask status refund original date departure passed month gone yet receive full refund email came two time span two month staying money transferred account transfer registered bank account performed due diligence bank account name correct explanation offered air asia close year since made booking yet receive full refund received email offer percent credit refund amount feel flabbergasted confidence actually fly air asia respectfully asked percent refund amount bank account inconvenience sign good stemmed credit offer case prematurely closed customer officer even though response explanation reply close method unacceptable demonstrated customer service need serious reorganisation air asia know concept inflation returning money year later result lower value compared year earlier find extremely disappointing air asia posse capability expedite process planned cancellation failure offer appropriate compensation great inconvenience surmount claim best budget airline review alone make impact large corporation vow fly air asia matter attractive offer spread experience anyone considering fly air asia best regard hardi njo,1400,"{'neg': 0.111, 'neu': 0.709, 'pos': 0.181, 'compound': 0.9638}",0.9638,positive,negative
